from,to,distance
4374873,86576857,0.1017135413186175
4374873,27490449,0.11875776048709269
86576857,86576856,0.09479225635173193
86576857,4374873,0.1017135413186175
27490449,4374873,0.11875776048709269
27490449,668988421,0.19407632078154533
641937458,180891251,0.09946383428679162
641937458,12272471,0.023102822395429802
12272471,641937458,0.023102822395429802
12272471,180513254,0.07647020505322043
180513254,672030007,0.16408473607786475
180513254,672030005,0.08488375090829234
180513254,672030006,0.06787584046351289
180513254,12272471,0.07647020505322043
12275208,744635155,0.11407534777653805
12275208,670977607,0.23745479730691899
744635155,12275208,0.11407534777653805
744635155,744635156,0.09248383429753014
670977607,12275208,0.23745479730691899
670977607,670977602,0.3534475036303198
670977607,670977606,0.21691921748175846
12275496,480220477,0.1329330544837966
12275496,480220478,0.02063203680625733
12275496,87573775,0.012540354949532402
480220478,12275496,0.02063203680625733
480220478,12292508,0.33130103790579146
480220478,87573775,0.013630664622576913
480220477,12275496,0.1329330544837966
480220477,87316386,0.09748511822436255
480220477,87573775,0.13653862648158605
87573775,12275496,0.012540354949532402
87573775,12292508,0.33027313785042167
87573775,480220477,0.13653862648158605
87573775,480220478,0.013630664622576913
12278810,85688312,0.05384482521357645
12278810,85688307,0.3299247076111443
12278810,672127438,0.08901297098333287
85688307,655124665,1.2623604052928288
85688307,12278810,0.3299247076111443
85688307,672127436,0.994192192376103
85688307,672127438,0.3669661975284178
672127438,12278810,0.08901297098333287
672127438,85688307,0.3669661975284178
672127438,85688308,0.26003626620075165
672127438,672127437,0.11093899068813506
85688312,655145672,0.012635084214283254
85688312,12278810,0.05384482521357645
85688312,85688316,0.026559401250407635
12280482,672127443,0.09799700174502707
12280482,85688300,0.10108655410709741
12280482,672127437,0.028837942503532263
85688300,12280482,0.10108655410709741
85688300,85688310,0.10505068301902974
672127443,12280482,0.09799700174502707
672127443,672127437,0.12428699316573008
672127443,87211858,0.20588759792939104
672127443,672127445,0.2052186723595816
672127443,833622263,0.34773126350074135
672127437,12280482,0.028837942503532263
672127437,672127443,0.12428699316573008
672127437,85688308,0.14927454285696046
672127437,672127438,0.11093899068813506
12280640,368794114,0.030509234336334203
12280640,671005493,0.07160233134988318
12280640,12280637,0.047959309259266905
12280637,12280640,0.047959309259266905
12280637,12316453,0.10895782910503693
12316453,647242450,0.0751290739016419
12316453,12280637,0.10895782910503693
368794114,12280640,0.030509234336334203
368794114,671005493,0.09209528651975693
368794114,747507846,0.1245634670806406
671005493,12280640,0.07160233134988318
671005493,647242450,0.08881997401589617
671005493,368794114,0.09209528651975693
12281290,672030013,0.2097164296506058
12281290,123899523,0.24219098337550163
